[ 2025-10-13 15:52:28,043 ) 19 root - INFO - Initiate Data Ingestion
[ 2025-10-13 15:52:29,225 ) 70 root - INFO - Performed train test split on the dataframe
[ 2025-10-13 15:52:29,226 ) 72 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-13 15:52:29,227 ) 80 root - INFO - Exporting train and test file path.
[ 2025-10-13 15:52:29,289 ) 89 root - INFO - Exported train and test file path.
[ 2025-10-13 15:52:29,298 ) 25 root - INFO - Initiate the Data Validation
[ 2025-10-13 15:52:29,324 ) 34 root - INFO - Required number of columns:2
[ 2025-10-13 15:52:29,324 ) 35 root - INFO - Data frame has columns:31
[ 2025-10-13 15:52:29,325 ) 34 root - INFO - Required number of columns:2
[ 2025-10-13 15:52:29,325 ) 35 root - INFO - Data frame has columns:31
[ 2025-10-13 15:52:29,507 ) 27 root - INFO - Data Validation Completed
[ 2025-10-13 15:52:29,508 ) 31 root - INFO - Initiate Data Transformation
[ 2025-10-13 15:52:29,508 ) 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-13 15:52:29,508 ) 59 root - INFO - Starting data transformation
[ 2025-10-13 15:52:29,533 ) 42 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-13 15:52:29,534 ) 47 root - INFO - Initialised KNNImputer with parameters --> {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-13 15:52:29,551 ) 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 15:52:29,553 ) 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 15:52:29,553 ) 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 15:52:29,555 ) 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 15:52:29,556 ) 35 root - INFO - Data Transformation Completed
[ 2025-10-13 15:52:29,556 ) 37 root - INFO - Model Training process stared
[ 2025-10-13 15:55:28,185 ) 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 15:55:28,188 ) 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 15:55:28,188 ) 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-13 15:55:28,269 ) 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-13 15:55:28,270 ) 107 root - INFO - Model Trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_13_2025_15_52_27\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913644214162349, precision_score=0.9882519748835326, recall_score=0.9944965348552792), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9768555466879489, precision_score=0.9752988047808765, recall_score=0.9784172661870504))
[ 2025-10-13 15:55:28,276 ) 42 root - INFO - Model Training artifact created successfully
